FigureName,IndexType,ExecutionMode,Optimization,Performance
iggp-gt_centipede-goal, No Index, Serial, No Optimization,3.996792
iggp-gt_centipede-goal, No Index, Serial, Relative Optimization,11.956535
iggp-gt_centipede-goal, No Index, Parallel, No Optimization, 7.557348
iggp-gt_centipede-goal, No Index, Parallel, Relative Optimization, 14.582789
iggp-gt_centipede-goal, Roaring Index, Parallel, No Optimization, 3.592356
iggp-gt_centipede-goal, Roaring Index, Parallel, Relative Optimization, 8.986466

imdb3, No Index, Serial, No Optimization,101.753759
imdb3, No Index, Serial, Relative Optimization,110.924458
imdb3, No Index, Parallel, No Optimization, 21.383837
imdb3, No Index, Parallel, Relative Optimization, 88.905342
imdb3, Roaring Index, Parallel, No Optimization, 51.142423
imdb3, Roaring Index, Parallel, Relative Optimization, 22.705134

iggp-coins-next-cell, No Index, Serial, No Optimization,13.712418
iggp-coins-next-cell, No Index, Serial, Relative Optimization,7.587099
iggp-coins-next-cell, No Index, Parallel, No Optimization, 3.85253
iggp-coins-next-cell, No Index, Parallel, Relative Optimization, 3.222282
iggp-coins-next-cell, Roaring Index, Parallel, No Optimization, 3.937661
iggp-coins-next-cell, Roaring Index, Parallel, Relative Optimization, 3.057869

iggp-connect4team-next-control, No Index, Serial, No Optimization,2.696265
iggp-connect4team-next-control, No Index, Serial, Relative Optimization,17.182893
iggp-connect4team-next-control, No Index, Parallel, No Optimization, 3.10885
iggp-connect4team-next-control, No Index, Parallel, Relative Optimization, 27.82278
iggp-connect4team-next-control, Roaring Index, Parallel, No Optimization, 3.236832
iggp-connect4team-next-control, Roaring Index, Parallel, Relative Optimization, 27.617068

iggp-sokoban-goal, No Index, Serial, No Optimization,16.17055
iggp-sokoban-goal, No Index, Serial, Relative Optimization,44.00704
iggp-sokoban-goal, No Index, Parallel, No Optimization, 13.576856
iggp-sokoban-goal, No Index, Parallel, Relative Optimization, 36.960359
iggp-sokoban-goal, Roaring Index, Parallel, No Optimization, 2.563233
iggp-sokoban-goal, Roaring Index, Parallel, Relative Optimization, 5.995337

