FigureName,IndexType,ExecutionMode,Optimization,Performance
iggp-gt_centipede-goal, No Index, Serial, No Optimization,3.791964
iggp-gt_centipede-goal, No Index, Serial, Relative Optimization,8.885116
iggp-gt_centipede-goal, No Index, Parallel, No Optimization, 6.32527
iggp-gt_centipede-goal, No Index, Parallel, Relative Optimization, 8.50941
iggp-gt_centipede-goal, Roaring Index, Parallel, No Optimization, 3.809014
iggp-gt_centipede-goal, Roaring Index, Parallel, Relative Optimization, 5.884624

imdb3, No Index, Serial, No Optimization,101.804793
imdb3, No Index, Serial, Relative Optimization,46.315006
imdb3, No Index, Parallel, No Optimization, 26.063799
imdb3, No Index, Parallel, Relative Optimization, 17.486088
imdb3, Roaring Index, Parallel, No Optimization, 26.406994
imdb3, Roaring Index, Parallel, Relative Optimization, 12.600888

iggp-coins-next-cell, No Index, Serial, No Optimization,11.592635
iggp-coins-next-cell, No Index, Serial, Relative Optimization,5.982305
iggp-coins-next-cell, No Index, Parallel, No Optimization, 3.739273
iggp-coins-next-cell, No Index, Parallel, Relative Optimization, 3.079553
iggp-coins-next-cell, Roaring Index, Parallel, No Optimization, 3.672612
iggp-coins-next-cell, Roaring Index, Parallel, Relative Optimization, 2.629577

iggp-connect4team-next-control, No Index, Serial, No Optimization,2.713429
iggp-connect4team-next-control, No Index, Serial, Relative Optimization,2.757049
iggp-connect4team-next-control, No Index, Parallel, No Optimization, 3.730272
iggp-connect4team-next-control, No Index, Parallel, Relative Optimization, 3.474529
iggp-connect4team-next-control, Roaring Index, Parallel, No Optimization, 3.296957
iggp-connect4team-next-control, Roaring Index, Parallel, Relative Optimization, 3.077303

iggp-sokoban-goal, No Index, Serial, No Optimization,15.408159
iggp-sokoban-goal, No Index, Serial, Relative Optimization,1.396999
iggp-sokoban-goal, No Index, Parallel, No Optimization, 13.311549
iggp-sokoban-goal, No Index, Parallel, Relative Optimization, 1.375009
iggp-sokoban-goal, Roaring Index, Parallel, No Optimization, 13.201057
iggp-sokoban-goal, Roaring Index, Parallel, Relative Optimization, 1.39927

iggp-gt_centipede-legal, No Index, Serial, No Optimization,0.229163
iggp-gt_centipede-legal, No Index, Serial, Relative Optimization,0.182003
iggp-gt_centipede-legal, No Index, Parallel, No Optimization, 0.830032
iggp-gt_centipede-legal, No Index, Parallel, Relative Optimization, 0.72767
iggp-gt_centipede-legal, Roaring Index, Parallel, No Optimization, 0.881012
iggp-gt_centipede-legal, Roaring Index, Parallel, Relative Optimization, 0.769421

pte, No Index, Serial, No Optimization,399.714435
pte, No Index, Serial, Relative Optimization,3282.171751
pte, No Index, Parallel, No Optimization, 65.7973
pte, No Index, Parallel, Relative Optimization, 373.71705
pte, Roaring Index, Parallel, No Optimization, 62.97567
pte, Roaring Index, Parallel, Relative Optimization, 348.614343

iggp-minimal-decay-next-value, No Index, Serial, No Optimization,0.127322
iggp-minimal-decay-next-value, No Index, Serial, Relative Optimization,0.082781
iggp-minimal-decay-next-value, No Index, Parallel, No Optimization, 0.427596
iggp-minimal-decay-next-value, No Index, Parallel, Relative Optimization, 0.360325
iggp-minimal-decay-next-value, Roaring Index, Parallel, No Optimization, 0.400356
iggp-minimal-decay-next-value, Roaring Index, Parallel, Relative Optimization, 0.342565

iggp-rps-next-score, No Index, Serial, No Optimization,5.958804
iggp-rps-next-score, No Index, Serial, Relative Optimization,2.14764
