FigureName,IndexType,ExecutionMode,Optimization,Performance
iggp-gt_centipede-goal, No Index, Serial, No Optimization,3.66314
iggp-gt_centipede-goal, No Index, Serial, Bellmanford Optimization,5.430798
iggp-gt_centipede-goal, No Index, Serial, Iterative Optimization,11.06415
iggp-gt_centipede-goal, No Index, Parallel, No Optimization, 4.817342
iggp-gt_centipede-goal, No Index, Parallel, BellmanFord Optimization, 5.860043
iggp-gt_centipede-goal, No Index, Parallel, Iterative Optimization, 11.478605
iggp-gt_centipede-goal, Roaring Index, Serial, No Optimization, 1.698169
iggp-gt_centipede-goal, Roaring Index, Serial, BellmanFord Optimization, 2.996553
iggp-gt_centipede-goal, Roaring Index, Serial, Iterative Optimization, 5.923555
iggp-gt_centipede-goal, Roaring Index, Parallel, No Optimization, 4.031083
iggp-gt_centipede-goal, Roaring Index, Parallel, BellmanFord Optimization, 4.804242
iggp-gt_centipede-goal, Roaring Index, Parallel, Iterative Optimization, 5.210286

iggp-coins-next-cell, No Index, Serial, No Optimization,14.104763
iggp-coins-next-cell, No Index, Serial, Bellmanford Optimization,9.477512
iggp-coins-next-cell, No Index, Serial, Iterative Optimization,6.266498
iggp-coins-next-cell, No Index, Parallel, No Optimization, 11.757157
iggp-coins-next-cell, No Index, Parallel, BellmanFord Optimization, 10.406903
iggp-coins-next-cell, No Index, Parallel, Iterative Optimization, 9.104648
iggp-coins-next-cell, Roaring Index, Serial, No Optimization, 16.472859
iggp-coins-next-cell, Roaring Index, Serial, BellmanFord Optimization, 12.593186
iggp-coins-next-cell, Roaring Index, Serial, Iterative Optimization, 10.949639
iggp-coins-next-cell, Roaring Index, Parallel, No Optimization, 11.623786
iggp-coins-next-cell, Roaring Index, Parallel, BellmanFord Optimization, 11.942359
iggp-coins-next-cell, Roaring Index, Parallel, Iterative Optimization, 8.305479

iggp-connect4team-next-control, No Index, Serial, No Optimization,1.84931
iggp-connect4team-next-control, No Index, Serial, Bellmanford Optimization,1.628118
iggp-connect4team-next-control, No Index, Serial, Iterative Optimization,1.602557
iggp-connect4team-next-control, No Index, Parallel, No Optimization, 2.988402
iggp-connect4team-next-control, No Index, Parallel, BellmanFord Optimization, 2.609349
iggp-connect4team-next-control, No Index, Parallel, Iterative Optimization, 2.78551
iggp-connect4team-next-control, Roaring Index, Serial, No Optimization, 5.161096
iggp-connect4team-next-control, Roaring Index, Serial, BellmanFord Optimization, 5.249827
iggp-connect4team-next-control, Roaring Index, Serial, Iterative Optimization, 5.024594
iggp-connect4team-next-control, Roaring Index, Parallel, No Optimization, 5.306947
iggp-connect4team-next-control, Roaring Index, Parallel, BellmanFord Optimization, 5.124985
iggp-connect4team-next-control, Roaring Index, Parallel, Iterative Optimization, 4.718011

iggp-gt-chicken-goal-tiny, No Index, Serial, No Optimization,5.51458
iggp-gt-chicken-goal-tiny, No Index, Serial, Bellmanford Optimization,5.700102
iggp-gt-chicken-goal-tiny, No Index, Serial, Iterative Optimization,5.637701
iggp-gt-chicken-goal-tiny, No Index, Parallel, No Optimization, 2.243384
iggp-gt-chicken-goal-tiny, No Index, Parallel, BellmanFord Optimization, 2.689489
iggp-gt-chicken-goal-tiny, No Index, Parallel, Iterative Optimization, 13.453926
iggp-gt-chicken-goal-tiny, Roaring Index, Serial, No Optimization, 16.654361
iggp-gt-chicken-goal-tiny, Roaring Index, Serial, BellmanFord Optimization, 17.729942
iggp-gt-chicken-goal-tiny, Roaring Index, Serial, Iterative Optimization, 17.098775
iggp-gt-chicken-goal-tiny, Roaring Index, Parallel, No Optimization, 15.906333
iggp-gt-chicken-goal-tiny, Roaring Index, Parallel, BellmanFord Optimization, 16.077844
iggp-gt-chicken-goal-tiny, Roaring Index, Parallel, Iterative Optimization, 15.796011

iggp-sokoban-goal, No Index, Serial, No Optimization,6.718662
iggp-sokoban-goal, No Index, Serial, Bellmanford Optimization,0.903839
iggp-sokoban-goal, No Index, Serial, Iterative Optimization,1.449566
iggp-sokoban-goal, No Index, Parallel, No Optimization, 6.991276
iggp-sokoban-goal, No Index, Parallel, BellmanFord Optimization, 0.464685
iggp-sokoban-goal, No Index, Parallel, Iterative Optimization, 0.606266
iggp-sokoban-goal, Roaring Index, Serial, No Optimization, 1.698498
iggp-sokoban-goal, Roaring Index, Serial, BellmanFord Optimization, 0.763858
iggp-sokoban-goal, Roaring Index, Serial, Iterative Optimization, 1.028421
iggp-sokoban-goal, Roaring Index, Parallel, No Optimization, 1.750009
iggp-sokoban-goal, Roaring Index, Parallel, BellmanFord Optimization, 0.503936
iggp-sokoban-goal, Roaring Index, Parallel, Iterative Optimization, 0.655427

iggp-gt_centipede-legal, No Index, Serial, No Optimization,0.144982
iggp-gt_centipede-legal, No Index, Serial, Bellmanford Optimization,0.139371
iggp-gt_centipede-legal, No Index, Serial, Iterative Optimization,0.134851
iggp-gt_centipede-legal, No Index, Parallel, No Optimization, 0.527376
iggp-gt_centipede-legal, No Index, Parallel, BellmanFord Optimization, 0.548026
iggp-gt_centipede-legal, No Index, Parallel, Iterative Optimization, 0.565506
iggp-gt_centipede-legal, Roaring Index, Serial, No Optimization, 0.163062
iggp-gt_centipede-legal, Roaring Index, Serial, BellmanFord Optimization, 0.160452
iggp-gt_centipede-legal, Roaring Index, Serial, Iterative Optimization, 0.159972
iggp-gt_centipede-legal, Roaring Index, Parallel, No Optimization, 0.605307
iggp-gt_centipede-legal, Roaring Index, Parallel, BellmanFord Optimization, 0.576036
iggp-gt_centipede-legal, Roaring Index, Parallel, Iterative Optimization, 0.517485

iggp-minimal-decay-next-value, No Index, Serial, No Optimization,0.081771
iggp-minimal-decay-next-value, No Index, Serial, Bellmanford Optimization,0.068841
iggp-minimal-decay-next-value, No Index, Serial, Iterative Optimization,0.075231
iggp-minimal-decay-next-value, No Index, Parallel, No Optimization, 0.268163
iggp-minimal-decay-next-value, No Index, Parallel, BellmanFord Optimization, 0.230733
iggp-minimal-decay-next-value, No Index, Parallel, Iterative Optimization, 0.403264
iggp-minimal-decay-next-value, Roaring Index, Serial, No Optimization, 0.091791
iggp-minimal-decay-next-value, Roaring Index, Serial, BellmanFord Optimization, 0.064161
