Database,Number of Entries,Number of Predicates,Predicate Density,Variable Predicate Ratio, Max Variable Size, Min Variable Size, Duplicate Ratio,Max Duplicate Ratio, Min Duplicate Ratio
iggp-gt_centipede-goal,109.0, 37.0,2.945945945945946, 0.7706422018348624,2.0,1.0,1.0,1.0,1.0
random1,2119.0, 6.0,353.1666666666667, 0.25,4.0,4.0,1.0,1.0,1.0
noisy-drugdrug,1768.0, 13.0,136.0, 0.5,2.0,2.0,1.0,1.0,1.0
imdb3,1330.0, 9.0,147.77777777777777, 0.6007518796992481,2.0,1.0,1.0,1.0,1.0
noisy-zendo2-10,4716.0, 16.0,294.75, 0.6647582697201018,2.0,1.0,1.0,1.0,1.0
yeast,47170.0, 13.0,3628.4615384615386, 0.45300332132004806,3.0,1.0,1.0,1.0,1.0
iggp-hextforthree-next-control,41938.0, 100.0,419.38, 0.28742628006422183,4.0,1.0,1.0,1.0,1.0
noisy-wn18rr1,85912.0, 10.0,8591.2, 0.5,2.0,2.0,1.0,1.0,1.0
noisy-alzheimer_amine,628.0, 31.0,20.258064516129032, 0.4973460721868366,3.0,2.0,1.0,1.0,1.0
trains1,28503.0, 23.0,1239.2608695652175, 0.8673823808020208,2.0,1.0,1.0,1.0,1.0
iggp-coins-next-cell,1101.0, 10.0,110.1, 0.36073266727217684,4.0,1.0,1.0,1.0,1.0
iggp-connect4team-next-control,9355.0, 34.0,275.1470588235294, 0.28583645109567074,4.0,1.0,1.0,1.0,1.0
iggp-farming-next-has-arson,8965.0, 152.0,58.98026315789474, 0.3657836029001673,4.0,1.0,1.0,1.0,1.0
iggp-gt-chicken-goal-tiny,1508.0, 9.0,167.55555555555554, 0.5026525198938993,2.0,1.0,1.0,1.0,1.0
iggp-sokoban-goal,2859.0, 22.0,129.95454545454547, 0.2855019237495628,4.0,1.0,1.0,1.0,1.0
noisy-alzheimer_acetyl,628.0, 31.0,20.258064516129032, 0.4973460721868366,3.0,2.0,1.0,1.0,1.0
iggp-fizzbuzz-goal,1609.0, 52.0,30.942307692307693, 0.4834265589392998,3.0,1.0,1.0,1.0,1.0
iggp-gt_centipede-legal,109.0, 37.0,2.945945945945946, 0.7706422018348624,2.0,1.0,1.0,1.0,1.0
pte,37699.0, 32.0,1178.09375, 0.3657802594233269,5.0,1.0,1.0,1.0,1.0
noisy-dropk-20,6.0, 6.0,1.0, 0.75,2.0,1.0,1.0,1.0,1.0
uwcs,1362.0, 14.0,97.28571428571429, 0.530347528144885,3.0,1.0,1.0,1.0,1.0
iggp-minimal-decay-next-value,29.0, 11.0,2.6363636363636362, 0.5862068965517241,3.0,1.0,1.0,1.0,1.0
iggp-rps-next-score,297.0, 10.0,29.7, 0.3860830527497194,3.0,1.0,1.0,1.0,1.0
iggp-ultimatium-goal,3664.0, 119.0,30.789915966386555, 0.46797671033478894,3.0,1.0,1.0,1.0,1.0
kinship-ancestor,12.0, 2.0,6.0, 0.5,2.0,2.0,1.0,1.0,1.0
noisy-alzheimer_toxic,628.0, 31.0,20.258064516129032, 0.4973460721868366,3.0,2.0,1.0,1.0,1.0
trains2,28503.0, 23.0,1239.2608695652175, 0.8673823808020208,2.0,1.0,1.0,1.0,1.0
kinship-pi,8.0, 2.0,4.0, 0.5,2.0,2.0,1.0,1.0,1.0
iggp-buttons-next,656.0, 14.0,46.857142857142854, 0.5414126016260163,3.0,1.0,1.0,1.0,1.0
webkb,1912.0, 5.0,382.4, 0.6459205020920502,2.0,1.0,1.0,1.0,1.0
